25 !CAntidad de datos
1.6447361872451438E-004   469.00000000000000     !P (atm)	V (voltios)
1.5789467397553381E-004   475.00000000000000     
1.6973677452369884E-004   435.00000000000000     
1.8947360877064057E-004   406.00000000000000     
1.9473676456982503E-004   405.00000000000000     
2.1578938776656287E-004   384.00000000000000     
2.0263149826860172E-004   394.00000000000000     
2.5921042310983466E-004   370.00000000000000     
2.7499989050738805E-004   363.00000000000000     
2.4210516676248517E-004   372.00000000000000     
3.0263145845310646E-004   353.00000000000000     
3.3947354904739768E-004   356.00000000000000     
2.9868409160371812E-004   355.00000000000000     
3.7763142859148502E-004   350.00000000000000     
3.7236827279230056E-004   350.00000000000000     
3.8947352913965005E-004   348.00000000000000     
4.6052613242864027E-004   365.00000000000000     
4.3289456448292185E-004   364.00000000000000     
4.1973667498496070E-004   363.00000000000000     
5.6973661526171782E-004   385.00000000000000     
5.3157873571763048E-004   381.00000000000000     
6.4999974119928083E-004   401.00000000000000     
7.2368392238786328E-004   416.00000000000000     
8.0131547042583406E-004   429.00000000000000     
8.6578912896584370E-004   450.00000000000000     
1 1 !Valores de A y B iniciales
1000 !Numero maximo de iteraciones
1E-8 !Tolerancia
